0                  0.0
50                 0.246167380975123
100                0.468702240812409
150                0.663514263385652
200                0.83006420644986
250                0.969486231803744
300                1.08382454703964
350                1.1755900018414
400                1.24747571169968
450                1.30217061850232
500                1.34223959441329
700                1.39999999251546
900                1.36981698370658
1100               1.31097198808248
1300               1.2488116190624
1500               1.19196543819322
1700               1.14220535754037
1900               1.09899783070658
2100               1.06128365966192
2300               1.02805669345329
2500               0.998496402259218
2700               0.971961710319226
2900               0.9479543361156
3100               0.926083576974211
3300               0.906039037679247
3500               0.887570739948824
3700               0.870474772923071
3900               0.854582864759021
4100               0.839754699913037
4300               0.825872173690543
4500               0.812835032756551
4900               0.788965776648619
5300               0.767591644537784
5700               0.748291123577128
6100               0.730737425499624
1000000            0.0
